# voltage[V], gain[#e], err_gain[#e], SNR, err_SNR
5.400000000000000000e+01,5.157397389263285398e+08,1.199535857676351443e+06,6.405195444018449535e+00,1.226772894969685723e-01
5.500000000000000000e+01,7.067605271918064356e+08,1.243822484047157690e+06,7.705956431983077337e+00,1.461256660717835110e-01
5.600000000000000000e+01,9.033822108660180569e+08,1.398313790341039654e+06,9.690338972252540373e+00,2.013030676415997755e-01
5.700000000000000000e+01,1.087493987166624308e+09,1.800785225062906742e+06,1.158491619256611038e+01,2.675908690227013498e-01
5.800000000000000000e+01,1.271247692601491451e+09,2.341550186274054926e+06,1.278376934403337373e+01,3.607234853439447164e-01
5.900000000000000000e+01,1.499439196202350616e+09,2.802095585859837383e+07,1.213754997291541926e+01,2.057775908276619603e+00
