# voltage[V], gain[#e], err_gain[#e], SNR, err_SNR
5.400000000000000000e+01,5.316607912970411181e+08,1.572660110409283545e+06,6.112613769144075171e+00,1.313787529556315892e-01
5.500000000000000000e+01,7.306863979052542448e+08,1.600892488499554805e+06,7.478791545821456666e+00,1.829625948454585427e-01
5.600000000000000000e+01,9.252991830037322044e+08,1.941012515214309329e+06,8.730742273036854684e+00,2.703545044792075025e-01
5.700000000000000000e+01,1.119179481600862741e+09,2.373174737370904069e+06,9.990162654067365366e+00,2.895511851609334775e-01
5.800000000000000000e+01,1.339449002906677723e+09,2.195298745232291147e+07,1.175488616077227100e+01,2.758198935368394000e+00
5.900000000000000000e+01,1.480433183923050880e+09,4.748100738103440031e+06,1.337094316745286449e+01,5.908815723972912215e-01
