# voltage[V], gain[#e], err_gain[#e], SNR, err_SNR
5.400000000000000000e+01,4.500740990952398181e+08,1.098001067424260546e+06,6.373246191451159781e+00,2.200914491802245243e-01
5.500000000000000000e+01,6.121014934436296225e+08,1.141873361809814116e+06,8.001700856511742899e+00,2.011353170891951314e-01
5.600000000000000000e+01,7.784099391238423586e+08,1.499136380203859648e+06,9.357185333984025633e+00,2.386338208474909350e-01
5.700000000000000000e+01,9.611142872938431501e+08,1.915256008084196132e+06,1.076752931304721450e+01,3.016143062435605593e-01
5.800000000000000000e+01,1.118530580871656656e+09,3.180617793660446070e+06,1.089292464490820933e+01,4.318148858650940891e-01
5.900000000000000000e+01,1.299909117386747360e+09,3.882043813033486251e+06,1.080970371838123079e+01,4.926670454761494233e-01
