# voltage[V], gain[#e], err_gain[#e], SNR, err_SNR
5.400000000000000000e+01,4.766632433631176949e+08,1.342254577167603187e+06,5.791699618816180006e+00,1.724201281452431844e-01
5.500000000000000000e+01,6.759317056383031607e+08,1.464481202712456696e+06,7.172182242902903404e+00,1.837347146228154315e-01
5.600000000000000000e+01,8.681039529830185175e+08,1.782403614249574253e+06,8.237269821628853350e+00,2.155932691525450362e-01
5.700000000000000000e+01,1.057293694954073548e+09,2.724254441909280140e+06,9.791481094296932142e+00,3.365988287876141016e-01
5.800000000000000000e+01,1.242140396948343515e+09,3.669682788720170967e+06,1.048230875845150045e+01,4.311823530447700392e-01
5.900000000000000000e+01,1.414702835579184294e+09,5.766135657286243513e+06,1.139813694272348599e+01,6.947713464321705334e-01
