# voltage[V], gain[#e], err_gain[#e], SNR, err_SNR
5.400000000000000000e+01,5.259743142149226069e+08,1.099046499662062153e+06,6.579064452563184062e+00,1.375804934372130695e-01
5.500000000000000000e+01,7.222197421274782419e+08,1.112428225376646733e+06,8.805453556082218469e+00,1.907136199249573338e-01
5.600000000000000000e+01,9.160294381820051670e+08,1.429904649897878291e+06,1.028491435484181693e+01,2.339466070789904817e-01
5.700000000000000000e+01,1.104865520698341608e+09,1.819318007257543039e+06,1.157275623365742767e+01,2.612874486768602122e-01
5.800000000000000000e+01,1.320385918581779480e+09,8.698945677256701514e+06,1.311739264522516457e+01,4.192073717387386544e+00
5.900000000000000000e+01,1.474542086449809790e+09,3.405039423275233712e+06,1.334222958162655992e+01,4.826681484514712683e-01
