# voltage[V], gain[#e], err_gain[#e], SNR, err_SNR
5.400000000000000000e+01,5.101262678760739565e+08,1.362232533424629364e+06,6.440875206752369131e+00,1.510725435898843949e-01
5.500000000000000000e+01,7.046625010809698105e+08,1.382473299137030030e+06,7.763482553450141488e+00,1.614149462921510014e-01
5.600000000000000000e+01,9.016990396628464460e+08,1.550724390031413175e+06,9.863065679374519945e+00,2.412741682967009804e-01
5.700000000000000000e+01,1.082184126180092096e+09,2.115458576697278302e+06,1.211395189828119712e+01,3.434126951795598015e-01
5.800000000000000000e+01,1.261955319752468109e+09,2.866386406042167917e+06,1.323433067869645541e+01,4.292386056678755279e-01
5.900000000000000000e+01,1.496668083834405661e+09,3.887686918439042568e+07,1.133121647971185908e+01,2.235253284249136829e+00
