# voltage[V], gain[#e], err_gain[#e], SNR, err_SNR
5.400000000000000000e+01,5.121192987206460834e+08,1.602416533653132152e+06,5.842189934973013088e+00,1.462462952455298171e-01
5.500000000000000000e+01,7.105563249781875610e+08,1.426293200877208030e+06,7.288112721219952128e+00,1.640529885983663116e-01
5.600000000000000000e+01,9.120134099986550808e+08,1.774284623669943307e+06,9.114246822815236015e+00,2.327155207449654595e-01
5.700000000000000000e+01,1.101644305474107742e+09,2.297505185771902092e+06,1.009768472514570981e+01,2.867595759513665854e-01
5.800000000000000000e+01,1.278380880930031776e+09,3.267113727587128058e+06,1.107761056961883384e+01,3.597449364783564252e-01
5.900000000000000000e+01,1.527358430331587553e+09,2.040507474466962367e+07,1.097312226515481903e+01,1.069606636098628938e+00
